0.0000  68.39
1.6330  74.27
3.6820  82.23
4.0290  85.1
4.2030  88.78
4.5500  101.67
4.7240  108.53
5.0710  120.9
5.2450  123.92
5.7660  125.76
6.2860  126.29
6.8070  126.82
8.7180  128.78
10.6970 130.8
12.7460 132.9
13.8580 134.04
14.2400 134.28
14.7610 132.11
15.2820 128.66
15.6980 126.23
16.3230 123.01
16.7400 122.4
17.2610 122.8
17.7820 123.42
17.8860 123.51
18.1990 123.45
18.4070 121.9
18.5110 120.66
18.7200 117.79
19.0320 112.84
19.2410 109.1
19.4490 103.96
19.7620 99.5
19.8660 99.44
19.9700 100.29
20.1780 102.66
20.2830 103.1
20.3870 100.53
20.4910 96.94
20.8040 86.14
21.2200 77.52
21.8460 70.54
22.2620 65.89
22.4710 63.81
22.7830 62.58
23.3040 61.11
23.5130 59.56
23.7210 56.15
23.9290 51.92
24.3460 44.92
25.0750 35.28
25.7010 26.87
26.2560 17.99
27.2290 9.1
27.7840 5.39
28.7570 2.96
29.7290 1.77
30.7710 1.02
31.8130 0.54
32.7860 0.26
33.7930 0.2
34.2790 0.17
34.5910 0.16
34.6610 0.16
34.7830 00.00
