18.43   1.00000000  1000.00000000
18.511  0.99281015  992.81015192
18.72   0.97143690  971.43690200
19.032  0.93457363  934.57363122
19.241  0.90672138  906.72138219
19.449  0.86844316  868.44315758
19.762  0.83522898  835.22897825
19.866  0.83478215  834.78215073
19.97   0.84111221  841.11220733
20.178  0.85876189  858.76189455
20.283  0.86203863  862.03862973
20.387  0.84289952  842.89951743
20.491  0.81616434  816.16433721
20.804  0.73573538  735.73538278
21.22   0.67154116  671.54116175
21.846  0.61956023  619.56022639
22.262  0.58493109  584.93109324
22.471  0.56944107  569.44107239
22.783  0.56028111  560.28110813
23.304  0.54933383  549.33383378
23.513  0.53779079  537.79078940
23.721  0.51239609  512.39609175
23.929  0.48089475  480.89475127
24.346  0.42876487  428.76487340
25.075  0.35697458  356.97458445
25.701  0.29434426  294.34425976
26.256  0.22821379  228.21378612
27.229  0.16200884  162.00884123
27.784  0.13438001  134.38000596
28.757  0.11628349  116.28349121
29.729  0.10742141  107.42141197
30.771  0.10183607  101.83606792
31.813  0.09826145  98.26144772
32.786  0.09617625  96.17625261
33.793  0.09572943  95.72942508
34.279  0.09550601  95.50601132
34.591  0.09543154  95.43154007
34.661  0.09543154  95.43154007
34.783  0.09424000  94.24000000
